source_folder,source_file,family,system_label,refrigerant,pi1,pi2,pi3,pi4,pi5,m_flow_g_s,m_flow_kg_s,Pin_Pa,Pout_Pa,deltaP_Pa,subcooling_K,Tin_K,rho_in_kg_m3,pcrit_Pa,tcrit_K,Aref_m2,Cd_true,dataset_sha256
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.1651673009327786,0.016588326039741395,2.108017769899175,2.9456008742040344e-06,3.65461254119873,26643.447685241703,26.643447685241703,917535.400390625,358906.5551757813,558628.8452148438,6.102015733718872,302.9909203430931,1075.0380578627246,3382200.0,367.85,2.544690049407732e-06,302.11127566617233,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.18099841865132163,0.01653531095134802,2.104643098252611,2.929580249355644e-06,2.9873056411743177,22643.739242553715,22.643739242553714,920156.25,307983.3984375,612172.8515625,6.082514133453369,303.1199663363331,1074.551302300929,3382200.0,367.85,2.544690049407732e-06,245.32829771276238,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.19050622055471475,0.016375420303209914,2.1159195492338774,2.9832848321405057e-06,2.5305736064910893,19344.62417602539,19.34462417602539,911442.8710937499,267112.7319335937,644330.1391601562,6.023698358535767,302.8136799479829,1075.6852778176885,3382200.0,367.85,2.544690049407732e-06,204.1801750302126,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_35_R1234yf.pkl,35_R1234yf,simple,R1234yf,0.20716267174587724,0.01611815223522738,2.1228882924456407,3.01671881636487e-06,2.0367236137390123,14611.931228637697,14.611931228637697,906120.6054687499,205455.0170898439,700665.588378906,5.929062299728392,302.6840209355972,1076.1511266746618,3382200.0,367.85,2.544690049407732e-06,147.86510753678132,ef9f2deacaaa2014b45f866e9128a6afbace73db67c4cfff732f8b3bb0ea91bd
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.3349848737046153,0.018190373514954998,1.598960807473889,1.022381594002589e-06,2.73890233039856,25446.474876403805,25.446474876403805,1490322.265625,357336.42578125,1132985.83984375,6.691328897476196,322.208745678859,997.5747335127112,3382200.0,367.85,2.544690049407732e-06,210.32591007769875,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.34405127062844637,0.017232289663617888,1.6076297832665343,1.0469050885261253e-06,2.445679426193238,22120.371036529552,22.12037103652955,1476490.478515625,312840.2709960937,1163650.2075195312,6.338897752761841,322.1573303090214,997.6416767912727,3382200.0,367.85,2.544690049407732e-06,180.40310182610847,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.35612052072476863,0.016497671706238663,1.6098919343834779,1.0533507232771022e-06,2.1433272361755384,18813.363304138184,18.813363304138186,1472912.59765625,268441.77246093756,1204470.8251953125,6.068668537139892,322.3226327881927,996.7914382860051,3382200.0,367.85,2.544690049407732e-06,150.87464485470107,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_55_R1234yf.pkl,55_R1234yf,simple,R1234yf,0.3696409393178811,0.016055187175046073,1.619603992884652,1.0812414307345602e-06,1.6371064329147351,13697.907619476327,13.697907619476327,1457697.75390625,207498.1689453125,1250199.5849609375,5.905900602340699,322.0370483179229,997.9773060792634,3382200.0,367.85,2.544690049407732e-06,107.75919429608699,442a32d54e323887922674f6eed4dd2a59865c2792ea02a47974410b26b0a871
Daten LOGIN,fixed_data_simple_35_R1234yf_R32_64_36.pkl,35_R1234yf_R32_64_36,simple,R1234yf_R32_64_36,0.2219637650801099,0.009893519484840121,1.1684687138618446,2.0237854995570436e-06,3.2261126041412376,29270.15544891357,29.27015544891357,1450249.0234375,497941.58935546875,952307.4340820312,3.553994235992432,302.93468083296864,1025.543098877064,4290373.4027863955,359.2244641998463,2.544690049407732e-06,260.2612995193644,4df3f819626f238fc391778b9d369db110f3e06be0042b605d867c2614dcd645
Daten LOGIN,fixed_data_simple_35_R1234yf_R32_64_36.pkl,35_R1234yf_R32_64_36,simple,R1234yf_R32_64_36,0.23463492643789946,0.00915024451844726,1.1679605487053062,2.0608424456252377e-06,2.702475829124451,25236.567478179928,25.23656747817993,1437150.87890625,430479.43115234375,1006671.4477539062,3.2869916844367975,302.8320819421767,1025.8874808468956,4290373.4027863955,359.2244641998463,2.544690049407732e-06,218.2160321460726,4df3f819626f238fc391778b9d369db110f3e06be0042b605d867c2614dcd645
