dataset,target,mse,rmse,mae,mard_pct
train,Cd,104.03971628615919,10.199986092449302,6.627347738964869,5.497507116322849
seen_test,Cd,43.58731213370343,6.602068776808026,4.719629423621503,3.8255306317246163
unseen_test,Cd,280.1953267288378,16.73903601551887,12.586859990348861,7.5197672938024995
train,m_flow_g_s,527248.5955503234,726.1188577294514,503.3464705734818,5.49750711632285
seen_test,m_flow_g_s,209549.75305696458,457.76604620369625,354.79293892692385,3.8255306317246154
unseen_test,m_flow_g_s,2741641.6208911072,1655.790331198702,1293.0872996263577,7.5197672938024995
