r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.4226852664210508,1,0,x3*x5/x2,"div,x3,mul,x2,div,div,mul,x4,x1,mul,x4,x1,x5",1.8654819992887863,1.8654819992887863,False,pi3*pi5/pi2,"pi3*pi5
-------
  pi2  ",Aref_m2 * (pi3*pi5/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.420867893335992,1,0,x1 + x5/(x2*x3),"add,div,div,x5,x3,x2,x1",1.893492952312932,1.893492952312932,False,pi1 + pi5/(pi2*pi3),"        pi5  
pi1 + -------
      pi2*pi3",Aref_m2 * (pi1 + pi5/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4207129117588983,1,0,-x2 + (x1 + x5**2/(x2*(-x4 + x5)))/x3,"sub,div,add,mul,div,div,x5,sub,x5,x4,x2,x5,x1,x3,x2",1.8959025713399624,1.8959025713399624,False,-pi2 + (pi1 + pi5**2/(pi2*(-pi4 + pi5)))/pi3,"                      2      
                   pi5       
       pi1 + ----------------
             pi2*(-pi4 + pi5)
-pi2 + ----------------------
                pi3          ",Aref_m2 * (-pi2 + (pi1 + pi5**2/(pi2*(-pi4 + pi5)))/pi3) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4204890322695745,1,0,x5/(x2*x3),"div,div,x5,x3,x2",1.8993892452606784,1.8993892452606784,False,pi5/(pi2*pi3),"  pi5  
-------
pi2*pi3",Aref_m2 * (pi5/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4204890322695745,1,0,x5/(x2*x3),"div,x5,mul,x2,x3",1.8993892452606784,1.8993892452606784,False,pi5/(pi2*pi3),"  pi5  
-------
pi2*pi3",Aref_m2 * (pi5/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4204889941261274,1,0,x5/(x2*(x4 + x3*x4/x2**3)),"div,div,x5,add,div,x3,div,mul,x2,x2,div,x4,x2,x4,x2",1.89938983989182,1.89938983989182,False,pi5/(pi2*(pi4 + pi3*pi4/pi2**3)),"        pi5        
-------------------
    /      pi3*pi4\
pi2*|pi4 + -------|
    |           3 |
    \        pi2  /",Aref_m2 * (pi5/(pi2*(pi4 + pi3*pi4/pi2**3))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4204889255533784,1,0,(-x4 + x5)/(x2*x3),"div,sub,x5,x4,mul,x2,x3",1.8993909088961811,1.8993909088961811,False,(-pi4 + pi5)/(pi2*pi3),"-pi4 + pi5
----------
 pi2*pi3  ",Aref_m2 * ((-pi4 + pi5)/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4204889255533784,1,0,0,"div,div,div,sub,x5,x4,div,x4,sub,x5,x5,x2,x3",1.899390908896181,1.899390908896181,False,0,0,Aref_m2 * (0) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4201094321371935,1,0,-x1 + x5/(x2*x3),"sub,div,sub,add,div,x5,x2,x2,x2,x3,x1",1.9053169242673749,1.9053169242673749,False,-pi1 + pi5/(pi2*pi3),"         pi5  
-pi1 + -------
       pi2*pi3",Aref_m2 * (-pi1 + pi5/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4201094321371935,1,0,-x1 + x5/(x2*x3),"sub,div,x5,mul,x2,x3,x1",1.9053169242673749,1.9053169242673749,False,-pi1 + pi5/(pi2*pi3),"         pi5  
-pi1 + -------
       pi2*pi3",Aref_m2 * (-pi1 + pi5/(pi2*pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4200063890741501,1,0,x3/x2,"div,div,x3,div,x2,x5,x5",1.9069294471967653,1.9069294471967653,False,pi3/pi2,"pi3
---
pi2",Aref_m2 * (pi3/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4193807570868739,1,0,x2 + (x1*x3 - 2*x1 + x3)/x2,"add,x2,div,add,sub,sub,mul,x1,x3,x1,x1,x3,x2",1.916751675445779,1.916751675445779,False,pi2 + (pi1*pi3 - 2*pi1 + pi3)/pi2,"      pi1*pi3 - 2*pi1 + pi3
pi2 + ---------------------
               pi2         ",Aref_m2 * (pi2 + (pi1*pi3 - 2*pi1 + pi3)/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4193523607513725,1,0,x5/(x2*(x2 + x3)),"div,x5,mul,x2,add,x3,x2",1.9171987839728224,1.9171987839728224,False,pi5/(pi2*(pi2 + pi3)),"      pi5      
---------------
pi2*(pi2 + pi3)",Aref_m2 * (pi5/(pi2*(pi2 + pi3))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4191337082363939,1,0,(-x3*x5 + x3 - x4 + x5/x2)/x3,"div,add,sub,x3,mul,x5,x3,sub,div,x5,x2,x4,x3",1.920645308814847,1.920645308814847,False,(-pi3*pi5 + pi3 - pi4 + pi5/pi2)/pi3,"                       pi5
-pi3*pi5 + pi3 - pi4 + ---
                       pi2
--------------------------
           pi3            ",Aref_m2 * ((-pi3*pi5 + pi3 - pi4 + pi5/pi2)/pi3) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.418968430403472,1,0,x1*(x1*x5 - x5)/(x2*x5) + x3/x2,"add,mul,div,div,x1,x2,x5,sub,mul,x5,x1,x5,div,x3,x2",1.9232549557130787,1.9232549557130787,False,pi1*(pi1*pi5 - pi5)/(pi2*pi5) + pi3/pi2,"pi1*(pi1*pi5 - pi5)   pi3
------------------- + ---
      pi2*pi5         pi2",Aref_m2 * (pi1*(pi1*pi5 - pi5)/(pi2*pi5) + pi3/pi2) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.4178287974990874,1,0,x1/x4 - x3*x5/(x2*(x1 - x5)),"sub,div,x1,x4,div,div,x5,div,x2,x3,sub,x1,x5",1.9413538435076332,1.9413538435076332,False,pi1/pi4 - pi3*pi5/(pi2*(pi1 - pi5)),"pi1       pi3*pi5    
--- - ---------------
pi4   pi2*(pi1 - pi5)",Aref_m2 * (pi1/pi4 - pi3*pi5/(pi2*(pi1 - pi5))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
