complexity,r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
5,0.31470079449828475,1,0,x5*(x3 + x5),"mul,add,x5,x3,x5",4.742035249668303,4.742035249668303,False
6,0.4292992997532433,1,0,x1 + x3/x2,"add,x1,div,x3,x2",1.7672437347941314,1.7672437347941314,False
8,0.43445410407207646,1,0,(x1*x3 + x3)/x2,"div,add,x3,mul,x3,x1,x2",1.6945246934685814,1.6945246934685814,False
10,0.43736080566739644,1,0,(x1 + x2 + x3 - x4)/x2,"div,add,sub,x2,x4,add,x3,x1,x2",1.6549323414844281,1.6549323414844281,False
12,0.43768331881866307,1,0,x1 - x2 + x3 + (x1 + x3)/x2,"add,sub,x3,x2,add,x1,div,add,x1,x3,x2",1.6506003937441,1.6506003937441,False
13,0.4400794727349612,1,0,x5*(x2*x5 + x3/x5)/x2,"mul,div,x5,x2,add,div,x3,x5,mul,x5,x2",1.61879015965423,1.61879015965423,False
