r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success
0.9745648512503651,1,0,x3*(exp(x2) - log(2.13917*x1**2 + 18.106*x1*x2 + 13.5398*x1*x3 - 2690740.0*x1*x4 + 0.116812*x1*x5 - 18.4149*x1 + 65.9662*x2**2 + 82.4422*x2*x3 - 16839300.0*x2*x4 - 1.35864*x2*x5 - 106.361*x2 - 407.154*x3**2 + 11893300.0*x3*x4 + 0.173932*x3*x5 + 513.516*x3 + 7144.88*x4**2 - 19669.8*x4*x5 + 158115000.0*x4 + 0.00880303*x5**2 - 0.368082*x5 + exp(x2*exp(-x1 + x2 + x4) + x4) - 105.531)),"mul,x3,sub,exp,x2,log,add,-105.531-0.368082*x5+1.58115e+08*x4+513.516*x3-106.361*x2-18.4149*x1+0.00880303*x5**2-19669.8*x4*x5+7144.88*x4**2+0.173932*x3*x5+1.18933e+07*x3*x4-407.154*x3**2-1.35864*x2*x5-1.68393e+07*x2*x4+82.4422*x2*x3+65.9662*x2**2+0.116812*x1*x5-2.69074e+06*x1*x4+13.5398*x1*x3+18.106*x1*x2+2.13917*x1**2,exp,add,exp,add,sub,add,log,x2,x2,x1,x4,x4",0.0006811567671176881,0.0006811567671176881,False
0.974556860084524,1,0,(x5 + exp(log(x2 - x5)/x5))*(-0.024639*x1**2 - 0.247226*x1*x2 - 0.16097*x1*x3 + 31606.8*x1*x4 + 0.000405383*x1*x5 + 0.219021*x1 - 0.657245*x2**2 - 0.925001*x2*x3 + 185246.0*x2*x4 + 0.0183448*x2*x5 + 1.26086*x2 + 5.29239*x3**2 - 151870.0*x3*x4 + 0.00139562*x3*x5 - 6.67443*x3 - 93.099*x4**2 - 219.054*x4*x5 - 2061150.0*x4 - 0.000103576*x5**2 - 0.00205935*x5 + 1.39628)*exp(x2)/x2,"mul,exp,x2,mul,div,1.39628-0.00205935*x5-2.06115e+06*x4-6.67443*x3+1.26086*x2+0.219021*x1-0.000103576*x5**2-219.054*x4*x5-93.099*x4**2+0.00139562*x3*x5-1.5187e+05*x3*x4+5.29239*x3**2+0.0183448*x2*x5+1.85246e+05*x2*x4-0.925001*x2*x3-0.657245*x2**2+0.000405383*x1*x5+31606.8*x1*x4-0.16097*x1*x3-0.247226*x1*x2-0.024639*x1**2,x2,add,exp,div,log,add,x4,sub,sub,x2,x5,x4,x5,x5",0.0006815960211415443,0.0006815960211415443,False
0.9745091598024103,1,0,-x3*(-x4 + x5/((-x5 + log(x3)/x3)*log(x4))) + 1.00464928664535e+16*exp(-0.724708*x1**2 - 5.67618*x1*x2 - 4.59286*x1*x3 + 915789.0*x1*x4 - 0.0426148*x1*x5 + 6.23207*x1 - 22.7018*x2**2 - 27.9795*x2*x3 + 5726690.0*x2*x4 + 0.424901*x2*x5 + 36.686*x2 + 143.623*x3**2 - 4180110.0*x3*x4 - 0.0628722*x3*x5 - 180.107*x3 - 2525.89*x4**2 + 7153.3*x4*x5 - 55904500.0*x4 - 0.00294019*x5**2 + 0.134054*x5),"sub,exp,add,36.846+0.134054*x5-5.59045e+07*x4-181.107*x3+36.686*x2+6.23207*x1-0.00294019*x5**2+7153.3*x4*x5-2525.89*x4**2-0.0628722*x3*x5-4.18011e+06*x3*x4+143.623*x3**2+0.424901*x2*x5+5.72669e+06*x2*x4-27.9795*x2*x3-22.7018*x2**2-0.0426148*x1*x5+9.15789e+05*x1*x4-4.59286*x1*x3-5.67618*x1*x2-0.724708*x1**2,x3,mul,sub,div,div,x5,sub,div,log,x3,x3,x5,log,x4,x4,x3",0.0006842210791769877,0.0006842210791769877,False
0.9745000695253351,1,0,(1.3673*x1**2 + 5.24282*x1*x2 + 8.87958*x1*x3 - 1776130.0*x1*x4 - 0.11239*x1*x5 - 11.7207*x1 + 30.916*x2**2 + 37.894*x2*x3 - 8049320.0*x2*x4 - 0.607602*x2*x5 - 48.4581*x2 - 215.394*x3**2 + 6018240.0*x3*x4 + 0.170324*x3*x5 + 269.499*x3 + 3823.8*x4**2 - 37516.5*x4*x5 - x4*(x3 + (-x1 + x2)*(x3 + x5)) + 84718400.0*x4 + 0.00235925*x5**2 - 0.209553*x5 - 54.5002)*log(x1),"mul,log,x1,sub,-54.5002-0.209553*x5+8.47184e+07*x4+269.499*x3-48.4581*x2-11.7207*x1+0.00235925*x5**2-37516.5*x4*x5+3823.8*x4**2+0.170324*x3*x5+6.01824e+06*x3*x4-215.394*x3**2-0.607602*x2*x5-8.04932e+06*x2*x4+37.894*x2*x3+30.916*x2**2-0.11239*x1*x5-1.77613e+06*x1*x4+8.87958*x1*x3+5.24282*x1*x2+1.3673*x1**2,mul,add,x3,mul,add,x5,x3,sub,x2,x1,x4",0.0006847219399242816,0.0006847219399242816,False
0.9745000611616513,1,0,(-1.36729*x1**2 - 5.24269*x1*x2 - 8.87952*x1*x3 + 1776110.0*x1*x4 + 0.112387*x1*x5 + 11.7206*x1 - 30.9159*x2**2 - 37.8937*x2*x3 + 8049260.0*x2*x4 + 0.607601*x2*x5 + 48.4577*x2 + 215.393*x3**2 - 6018210.0*x3*x4 - 0.17033*x3*x5 - 269.498*x3 - 3823.78*x4**2 + 37517.6*x4*x5 - 84718000.0*x4 - 0.00235924*x5**2 + 0.209561*x5 + 54.5)*log(zoo*exp(x5)/x1),"mul,54.5+0.209561*x5-8.4718e+07*x4-269.498*x3+48.4577*x2+11.7206*x1-0.00235924*x5**2+37517.6*x4*x5-3823.78*x4**2-0.17033*x3*x5-6.01821e+06*x3*x4+215.393*x3**2+0.607601*x2*x5+8.04926e+06*x2*x4-37.8937*x2*x3-30.9159*x2**2+0.112387*x1*x5+1.77611e+06*x1*x4-8.87952*x1*x3-5.24269*x1*x2-1.36729*x1**2,log,div,div,exp,x5,sub,x1,x1,x1",0.0006847224008394978,0.0006847224008394978,False
0.9744987664344481,1,0,x3*log(x4 - log(log(log(x2 + 4.18392972268628e-10*exp(0.447839*x1**2 + 3.57683*x1*x2 + 2.72491*x1*x3 - 537116.0*x1*x4 + 0.0222977*x1*x5 - 3.72822*x1 + 13.5262*x2**2 + 17.0826*x2*x3 - 3486460.0*x2*x4 - 0.271311*x2*x5 - 22.6522*x2 - 87.3377*x3**2 + 2536880.0*x3*x4 + 0.0358648*x3*x5 + 110.169*x3 + 1533.64*x4**2 - 4368.35*x4*x5 + 33943800.0*x4 + 0.00146445*x5**2 - 0.0726888*x5))))),"mul,x3,log,sub,x4,log,log,log,add,x2,exp,-21.5946-0.0726888*x5+3.39438e+07*x4+110.169*x3-22.6522*x2-3.72822*x1+0.00146445*x5**2-4368.35*x4*x5+1533.64*x4**2+0.0358648*x3*x5+2.53688e+06*x3*x4-87.3377*x3**2-0.271311*x2*x5-3.48646e+06*x2*x4+17.0826*x2*x3+13.5262*x2**2+0.0222977*x1*x5-5.37116e+05*x1*x4+2.72491*x1*x3+3.57683*x1*x2+0.447839*x1**2",0.0006847937540774846,0.0006847937540774846,False
0.9744986789882879,1,0,log(x2/log(log(0.208264*x1**2 + 2.26582*x1*x2 + 1.26372*x1*x3 - 244617.0*x1*x4 + 0.00812305*x1*x5 - 1.76913*x1 + 8.41191*x2**2 + 8.99726*x2*x3 - 1834620.0*x2*x4 - 0.356456*x2*x5 - 9.05063*x2 - 41.8976*x3**2 + 1204540.0*x3*x4 - 0.0025429*x3*x5 + 52.7396*x3 + 737.739*x4**2 + 505.292*x4*x5 + 16332700.0*x4 + 0.00111686*x5**2 + 0.00448095*x5 - 8.20752))),"log,div,x2,log,log,sub,x1,8.20752-0.00448095*x5-1.63327e+07*x4-52.7396*x3+9.05063*x2+2.76913*x1-0.00111686*x5**2-505.292*x4*x5-737.739*x4**2+0.0025429*x3*x5-1.20454e+06*x3*x4+41.8976*x3**2+0.356456*x2*x5+1.83462e+06*x2*x4-8.99726*x2*x3-8.41191*x2**2-0.00812305*x1*x5+2.44617e+05*x1*x4-1.26372*x1*x3-2.26582*x1*x2-0.208264*x1**2",0.0006847985734317342,0.0006847985734317342,False
0.9744984550414332,1,0,log(x1 - x4 + exp(x2 + x3*(-6.8134*x1**2 - 6.87611*x1*x2 - 19.6143*x1*x3 + 4089100.0*x1*x4 - 0.0111173*x1*x5 + 29.1474*x1 - 25.4519*x2**2 - 34.5124*x2*x3 + 7252730.0*x2*x4 + 0.410471*x2*x5 + 44.083*x2 + 303.047*x3**2 - 8472489.0*x3*x4 - 0.316042*x3*x5 - 376.546*x3 - 5398.38*x4**2 + 56650.9*x4*x5 - 119610001.0*x4 - 0.00259407*x5**2 + 0.456583*x5 + 71.4774))/x1),"log,add,sub,x1,x4,div,exp,add,mul,x3,sub,71.4774+0.456583*x5-1.1961e+08*x4-376.546*x3+44.083*x2+29.1474*x1-0.00259407*x5**2+56650.9*x4*x5-5398.38*x4**2-0.316042*x3*x5-8.47249e+06*x3*x4+303.047*x3**2+0.410471*x2*x5+7.25273e+06*x2*x4-34.5124*x2*x3-25.4519*x2**2-0.0111173*x1*x5+4.0891e+06*x1*x4-19.6143*x1*x3-6.87611*x1*x2-6.8134*x1**2,sub,x4,mul,x4,x3,x2,x1",0.0006848109157270493,0.0006848109157270493,False
0.9744771832781729,1,0,0.173358*x1**2 + 6.09972*x1*x2 - 7.87704*x1*x3 + 1837050.0*x1*x4 - 0.141538*x1*x5 + 8.78365*x1 - 30.3366*x2**2 - 29.9422*x2*x3 + 6917560.0*x2*x4 + 0.773782*x2*x5 + 35.332*x2 - x2/log(-log(x1) + log(x3/x1)) + 233.335*x3**2 - 6789840.0*x3*x4 - 0.15181*x3*x5 - 295.507*x3 - 4090.13*x4**2 + 27858.1*x4*x5 - 90519400.0*x4 - 0.00357664*x5**2 + 0.280626*x5 + 63.449,"add,63.449+0.280626*x5-9.05194e+07*x4-296.507*x3+35.332*x2+8.78365*x1-0.00357664*x5**2+27858.1*x4*x5-4090.13*x4**2-0.15181*x3*x5-6.78984e+06*x3*x4+233.335*x3**2+0.773782*x2*x5+6.91756e+06*x2*x4-29.9422*x2*x3-30.3366*x2**2-0.141538*x1*x5+1.83705e+06*x1*x4-7.87704*x1*x3+6.09972*x1*x2+0.173358*x1**2,sub,x3,div,x2,log,sub,log,div,x3,x1,log,x1",0.0006859837909952185,0.0006859837909952185,False
0.9744429448702326,1,0,log(x2)*log(log(0.775685*x1**2 + 7.12854*x1*x2 + 5.47164*x1*x3 - 1090550.0*x1*x4 + 0.0702745*x1*x5 - 7.395*x1 + 35.7318*x2**2 + 39.4756*x2*x3 - 8155880.0*x2*x4 - 1.04772*x2*x5 - 51.6847*x2 - 230.801*x3**2 + 6834720.0*x3*x4 + 0.0247618*x3*x5 + 292.969*x3 + 4025.25*x4**2 - 3973.11*x4*x5 + 89040600.0*x4 + 0.00509531*x5**2 - 0.0827018*x5 - 60.3058)),"mul,log,x2,log,log,-60.3058-0.0827018*x5+8.90406e+07*x4+292.969*x3-51.6847*x2-7.395*x1+0.00509531*x5**2-3973.11*x4*x5+4025.25*x4**2+0.0247618*x3*x5+6.83472e+06*x3*x4-230.801*x3**2-1.04772*x2*x5-8.15588e+06*x2*x4+39.4756*x2*x3+35.7318*x2**2+0.0702745*x1*x5-1.09055e+06*x1*x4+5.47164*x1*x3+7.12854*x1*x2+0.775685*x1**2",0.000687873832018657,0.000687873832018657,False
0.9744301816308611,1,0,(-1.36206*x1**2 - 6.87306*x1*x2 - 8.45676*x1*x3 + 1664110.0*x1*x4 - 0.0138332*x1*x5 + 11.3567*x1 - 32.051*x2**2 - 41.7146*x2*x3 + 8779140.0*x2*x4 + 0.654132*x2*x5 + 53.6097*x2 + 193.837*x3**2 - 5446380.0*x3*x4 - 0.325956*x3*x5 - 241.974*x3 - 3443.41*x4**2 + 63083.1*x4*x5 - 76282800.0*x4 - 0.00254806*x5**2 + 0.442327*x5 + 48.2966)*log(exp(x3)/(x4*(x2 - x4 + exp(x3)) + exp(x1))),"mul,48.2966+0.442327*x5-7.62828e+07*x4-241.974*x3+53.6097*x2+11.3567*x1-0.00254806*x5**2+63083.1*x4*x5-3443.41*x4**2-0.325956*x3*x5-5.44638e+06*x3*x4+193.837*x3**2+0.654132*x2*x5+8.77914e+06*x2*x4-41.7146*x2*x3-32.051*x2**2-0.0138332*x1*x5+1.66411e+06*x1*x4-8.45676*x1*x3-6.87306*x1*x2-1.36206*x1**2,log,div,exp,x3,add,mul,x4,sub,add,exp,x3,x2,x4,exp,x1",0.0006885790923171576,0.0006885790923171576,False
0.9744294289514519,1,0,(x2 + log(x3))*(-3.7116*x1**2 - 34.6629*x1*x2 - 20.4587*x1*x3 + 3961510.0*x1*x4 - 0.0965101*x1*x5 + 28.7581*x1 - 103.816*x2**2 - 119.166*x2*x3 + 23656400.0*x2*x4 + 1.2974*x2*x5 + 161.925*x2 + 454.432*x3**2 - 13633400.0*x3*x4 - 1.05047*x3*x5 - 571.089*x3 - 7960.83*x4**2 + 197443.0*x4*x5 - 176062000.0*x4 - 0.00630329*x5**2 + 1.44745*x5 + 116.386),"div,116.386+1.44745*x5-1.76062e+08*x4-571.089*x3+161.925*x2+28.7581*x1-0.00630329*x5**2+1.97443e+05*x4*x5-7960.83*x4**2-1.05047*x3*x5-1.36334e+07*x3*x4+454.432*x3**2+1.2974*x2*x5+2.36564e+07*x2*x4-119.166*x2*x3-103.816*x2**2-0.0965101*x1*x5+3.96151e+06*x1*x4-20.4587*x1*x3-34.6629*x1*x2-3.7116*x1**2,div,x1,mul,x1,add,x2,log,x3",0.0006886206951005622,0.0006886206951005622,False
0.9744137411656546,1,0,log(log(x2 - x3 - log(0.0663805*x1**2 + 0.496696*x1*x2 + 0.367483*x1*x3 - 71413.3*x1*x4 + 6.23455e-5*x1*x5 - 0.506331*x1 + 1.25101*x2**2 + 1.9076*x2*x3 - 385793.0*x2*x4 - 0.0246801*x2*x5 - 2.51017*x2 - 8.53561*x3**2 + 240528.0*x3*x4 + 0.00124616*x3*x5 + 10.6387*x3 + 151.565*x4**2 + 194.402*x4*x5 + 3357420.0*x4 + 0.000293529*x5**2 - 0.00489899999999999*x5 - 2.08271))),"log,log,sub,x2,add,log,sub,add,-2.08271+0.995101*x5+3.35742e+06*x4+10.6387*x3-3.51017*x2-0.506331*x1+0.000293529*x5**2+194.402*x4*x5+151.565*x4**2+0.00124616*x3*x5+2.40528e+05*x3*x4-8.53561*x3**2-0.0246801*x2*x5-3.85793e+05*x2*x4+1.9076*x2*x3+1.25101*x2**2+6.23455e-05*x1*x5-71413.3*x1*x4+0.367483*x1*x3+0.496696*x1*x2+0.0663805*x1**2,x2,x5,x3",0.0006894881054282932,0.0006894881054282932,False
0.9743779189890869,1,0,-x3 + x4*(-x5*exp(exp(x3)) - x5 + log(x2)) - log(0.299629*x1**2 + 2.24727*x1*x2 + 1.75658*x1*x3 - 347889.0*x1*x4 + 0.00836132*x1*x5 - 2.40045*x1 + 7.17822*x2**2 + 9.84773*x2*x3 - 2007180.0*x2*x4 - 0.125457*x2*x5 - 12.9622*x2 - 43.6511*x3**2 + 1230490.0*x3*x4 + 0.0191469*x3*x5 + 54.1795*x3 + 776.164*x4**2 - 1173.25*x4*x5 + 17193800.0*x4 + 0.00111377*x5**2 - 0.0427718*x5 - 10.2045),"sub,sub,mul,sub,log,x2,add,x5,mul,x5,exp,exp,x3,x4,log,-10.2045-0.0427718*x5+1.71938e+07*x4+54.1795*x3-12.9622*x2-2.40045*x1+0.00111377*x5**2-1173.25*x4*x5+776.164*x4**2+0.0191469*x3*x5+1.23049e+06*x3*x4-43.6511*x3**2-0.125457*x2*x5-2.00718e+06*x2*x4+9.84773*x2*x3+7.17822*x2**2+0.00836132*x1*x5-3.47889e+05*x1*x4+1.75658*x1*x3+2.24727*x1*x2+0.299629*x1**2,x3",0.000691470939725343,0.000691470939725343,False
