r,count_on_policy,count_off_policy,expression,traversal,nmse_test,nmse_test_noiseless,success,expression_named,expression_pretty,m_flow_formula
0.670052642984714,1,0,x4*x5*(x2 + x4)/x1,"div,x5,div,div,x1,x4,add,x2,x4",0.2424775071913444,0.2424775071913444,False,pi4*pi5*(pi2 + pi4)/pi1,"π₄⋅π₅⋅(π₂ + π₄)
───────────────
       π₁      ",Aref_m2 * (pi4*pi5*(pi2 + pi4)/pi1) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700517267440935,1,0,x4 + x5*(x2 + x4/x3),"add,x4,mul,add,div,x4,x3,x2,x5",0.2424795170194326,0.2424795170194326,False,pi4 + pi5*(pi2 + pi4/pi3),"        ⎛     π₄⎞
π₄ + π₅⋅⎜π₂ + ──⎟
        ⎝     π₃⎠",Aref_m2 * (pi4 + pi5*(pi2 + pi4/pi3)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700401889695797,1,0,-x2*(x4*(-x3 + 2*x4*x5) - x5) + x4,"sub,x4,mul,x2,sub,mul,sub,mul,add,x4,x4,x5,x3,x4,x5",0.2425048269947295,0.2425048269947295,False,-pi2*(pi4*(-pi3 + 2*pi4*pi5) - pi5) + pi4,-π₂⋅(π₄⋅(-π₃ + 2⋅π₄⋅π₅) - π₅) + π₄,Aref_m2 * (-pi2*(pi4*(-pi3 + 2*pi4*pi5) - pi5) + pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700398477561945,1,0,x2*(x4 + x5) + x4,"add,x4,mul,x2,add,x4,x5",0.2425055755348802,0.2425055755348802,False,pi2*(pi4 + pi5) + pi4,π₂⋅(π₄ + π₅) + π₄,Aref_m2 * (pi2*(pi4 + pi5) + pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700393856855481,1,0,x2*x4*x5/(x2 + x3) + x4,"add,x4,div,x2,div,div,add,x2,x3,x4,x5",0.2425065892098686,0.2425065892098686,False,pi2*pi4*pi5/(pi2 + pi3) + pi4,"π₂⋅π₄⋅π₅     
──────── + π₄
π₂ + π₃      ",Aref_m2 * (pi2*pi4*pi5/(pi2 + pi3) + pi4) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700349028044298,1,0,x2*x5 + x4/x5,"add,div,x4,x5,mul,x2,x5",0.2425164237857234,0.2425164237857234,False,pi2*pi5 + pi4/pi5,"        π₄
π₂⋅π₅ + ──
        π₅",Aref_m2 * (pi2*pi5 + pi4/pi5) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700340712802761,1,0,x5*(x2 + x4/(x1 + x3*x5 + x5)),"mul,x5,add,div,x4,add,add,x5,mul,x3,x5,x1,x2",0.242518248025603,0.242518248025603,False,pi5*(pi2 + pi4/(pi1 + pi3*pi5 + pi5)),"   ⎛            π₄      ⎞
π₅⋅⎜π₂ + ───────────────⎟
   ⎝     π₁ + π₃⋅π₅ + π₅⎠",Aref_m2 * (pi5*(pi2 + pi4/(pi1 + pi3*pi5 + pi5))) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700333680930646,1,0,x2*(x3*x4*(x2 + x5) + x5),"mul,x2,add,mul,add,x5,x2,mul,x3,x4,x5",0.2425197907222758,0.2425197907222758,False,pi2*(pi3*pi4*(pi2 + pi5) + pi5),π₂⋅(π₃⋅π₄⋅(π₂ + π₅) + π₅),Aref_m2 * (pi2*(pi3*pi4*(pi2 + pi5) + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700323277230518,1,0,x2*(x4*x5*(-x2 + (2*x3 - x5)/x4) + x5),"mul,x2,add,mul,mul,x5,sub,div,add,sub,x3,x5,x3,x4,x2,x4,x5",0.2425220731668872,0.2425220731668872,False,pi2*(pi4*pi5*(-pi2 + (2*pi3 - pi5)/pi4) + pi5),"   ⎛      ⎛      2⋅π₃ - π₅⎞     ⎞
π₂⋅⎜π₄⋅π₅⋅⎜-π₂ + ─────────⎟ + π₅⎟
   ⎝      ⎝          π₄   ⎠     ⎠",Aref_m2 * (pi2*(pi4*pi5*(-pi2 + (2*pi3 - pi5)/pi4) + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
0.6700316224668804,1,0,x2*(x4 + x5),"div,add,x4,x5,div,x3,mul,x2,x3",0.2425236204228411,0.2425236204228411,False,pi2*(pi4 + pi5),π₂⋅(π₄ + π₅),Aref_m2 * (pi2*(pi4 + pi5)) * sqrt(2 * rho_in_kg_m3 * deltaP_Pa) * 1000
