_time,n_Fan,P_el_Comp,n_Comp,Q_Kond_outer,Q_Kond_inner,Q_VD,COP_outer,COP_inner,T_eva_in,T_eva_out,T1,T2,T2_dash,T3,T3_a,T3_b,T3_c,T4_dash,T1_dash,m_flow_Comp_Out,m_flow_Kond_Out,density_cond_out,density_ref_cond_out,density_comp_out,density_ref_comp_out,p1,p2,p2_dash,p3,p3_a,p3_c,p4_dash,p1_dash,T_c,T_e,T_con_in,T_con_out,T_cc,T_hyd_rl,T_hyd_vl,V_flow_water,V_flow_air,Superheat_Python,Superheat_VD_out,EEV_opening,Subcooling_3,Subcooling_3a,eta_is,lambda_h,eta_mech,Subcooling_3c,hLevelRec,Superheat_Simulink,hKond_In,hil3/Sensor.hKondOut,hil3/Sensor.sKondIn,sKond_Out,hComp_In,hComp_Out,P_Fan,EEV_Opening
2025-02-04 15:46:18+01:00,10.0,1969.19287109375,90.32382202148438,7.484760284423828,7.632972240447998,5.925929069519043,3.800638675689697,3.875898361206055,280.4978798866272,275.24552979469297,272.73567002415655,334.1910766601562,327.80275573730466,306.4293502807617,34.02774810791016,32.934417724609375,33.498748779296875,292.5003189086914,268.4423698425293,0.0210112762451171,0.0200743904113769,478.6529541015625,479.2452697753906,24.70684051513672,24.57682228088379,386047.101020813,1298095.6077575684,1229247.9515075684,1234863.1858825684,12.266844749450684,12.218016624450684,837890.5296325684,407104.4445037842,308.3435768127441,266.24376049041746,303.0287097930908,308.4805511474609,7.032499313354492,35.279998779296875,29.959999084472656,0.0003273618910047,2983.4111328125,6.515435218811035,6.469759941101074,11.966400146484377,2.2528679370880127,1.2538610696792605,0.6968697309494019,0.9343940019607544,0.9036989212036132,1.674888014793396,245.5357360839844,6.98496675491333,650.9837036132812,287.94110107421875,2.4701497554779053,1.2982999086380005,578.2040405273438,662.6699829101562,44.56311798095703,49.79
2025-02-04 15:46:20+01:00,10.0,1967.4556884765625,90.21271133422852,7.4660725593566895,7.57782506942749,5.887767791748047,3.781881332397461,3.8471016883850098,280.4678796768188,275.24552979469297,272.6956700623035,334.181078338623,327.6927551269531,306.44935073852537,34.04774856567383,32.932373046875,33.498748779296875,292.5003189086914,268.3223699569702,0.0208959045410156,0.0200709476470947,478.63482666015625,479.3251953125,24.61862564086914,24.660966873168945,379256.9398880005,1297363.1858825684,1237548.7327575684,1238159.0843200684,12.258299827575684,12.241209983825684,836913.9671325684,409301.7101287842,308.4732192993164,266.6933893203735,303.0087093353271,308.4905494689941,7.032499313354492,35.279998779296875,29.959999084472656,0.0003273618910047,2983.4111328125,6.831046581268311,6.110126972198486,11.966400146484377,2.060832023620605,1.1836074590682983,0.7055866718292236,0.9235750436782836,0.8948448896408081,1.6781166791915894,245.6586456298828,6.328941345214844,650.9866943359375,287.9700927734375,2.4711384773254395,1.2984153032302856,578.1622924804688,662.7864379882812,,49.79
2025-02-04 15:46:22+01:00,10.0,1965.718505859375,90.10160064697266,7.462368965148926,7.565436840057373,5.877826929092407,3.786279320716858,3.844291567802429,280.4278797149658,275.24552979469297,272.6706700712442,334.1760772705078,327.64275588989256,306.43435134887693,34.04774856567383,32.930267333984375,33.50874900817871,292.5003189086914,268.3173698425293,0.0208660812377929,0.0200600080490112,478.6589050292969,479.28265380859375,24.626731872558597,24.485569953918457,380134.32025909424,1291992.0921325684,1233581.4476013184,1232299.7093200684,12.259520530700684,12.232054710388184,830444.2405700684,403869.5812225342,308.5838970184326,266.17866840362547,303.01870956420896,308.4905494689941,7.027500152587891,35.279998779296875,29.959999084472656,0.0003263446044921,2975.0458984375,6.414058208465576,5.750494003295898,11.966400146484377,2.3392937183380127,1.156036555767059,0.6986026465892792,0.9184494614601136,0.8970050513744354,1.6345482468605042,245.78155517578125,6.379305124282837,650.6958312988281,287.93980407714844,2.4711759090423584,1.2983351349830627,578.0494384765625,662.8778686523438,46.820648193359375,49.79
2025-02-04 15:46:24+01:00,10.0,1965.1248779296875,90.29220581054688,7.458665370941162,7.553048610687256,5.867886066436768,3.790677309036255,3.8414814472198486,280.3878797531128,275.24552979469297,272.6456700801849,334.17107620239256,327.592756652832,306.4193519592285,34.04774856567383,32.92816162109375,33.51874923706055,292.5003189086914,268.3123697280884,0.0208362579345703,0.0200490684509277,478.6829833984375,479.2401123046875,24.634838104248047,24.31017303466797,381011.700630188,1286620.9983825684,1229614.1624450684,1226440.3343200684,12.260741233825684,12.222899436950684,823974.5140075684,398437.4523162842,308.6945747375488,265.6639474868774,303.0287097930908,308.4905494689941,7.010000228881836,35.29999923706055,30.0,0.0003258359442816,3013.357177734375,5.997069835662842,6.295988082885742,11.966400146484377,2.61775541305542,1.1284656524658203,0.6916186213493347,0.9133238792419434,0.8991652131080627,1.590979814529419,245.44012451171875,6.42966890335083,650.4049682617188,287.9095153808594,2.4712133407592773,1.2982549667358398,577.9365844726562,662.9692993164062,44.665077209472656,49.79
2025-02-04 15:46:26+01:00,10.0,1966.991455078125,90.2041015625,7.452847957611084,7.596385478973389,5.898608684539795,3.772071838378906,3.844719886779785,280.33788003921507,275.1455300092697,272.3756700992584,334.1510757446289,327.54275741577146,306.4193519592285,34.04774856567383,32.941131591796875,33.51874923706055,292.5103191375732,268.1123699188232,0.0209379138946533,0.0200700511932373,478.6438903808594,479.2448120117188,24.619579315185547,24.1129207611084,376128.888130188,1299072.1702575684,1241332.9124450684,1233886.6233825684,12.257079124450684,12.215575218200684,822265.5296325684,391601.5148162842,308.9358085632324,266.8155640602112,303.0087093353271,308.4805511474609,6.989999771118164,35.279998779296875,29.979999542236328,0.0003260393948025,2967.88232421875,6.255637168884277,5.608683109283447,11.966400146484377,2.195277690887451,1.1910377740859983,0.6935879588127136,0.9310643076896667,0.9034106731414796,1.6245578527450562,246.50537109375,5.7022809982299805,651.0065307617188,287.9411315917969,2.472170114517212,1.298300862312317,577.671875,663.2145385742188,44.64390182495117,49.79
2025-02-04 15:46:28+01:00,10.0,1969.3861083984373,90.2621612548828,7.461406707763672,7.569703578948975,5.8793113231658936,3.789141893386841,3.844078183174133,280.3228799343109,275.12552996873853,272.3506700634956,334.1460765838623,327.48275604248045,306.41435089111326,34.03774833679199,32.941131591796875,33.51874923706055,292.49031867980955,268.1123699188232,0.0208737497329711,0.0200593070983886,478.6517639160156,479.2525177001953,24.647951126098636,24.21773052215576,377387.7382278442,1299804.5921325684,1242065.3343200684,1240600.4905700684,12.241820335388184,12.228392601013184,826476.9554138184,395996.0460662842,308.8671821594238,266.3774143695831,303.0087093353271,308.46055068969724,6.989999771118164,35.279998779296875,29.979999542236328,0.000326802368164,2971.84228515625,6.149346828460693,5.81405520439148,11.966400146484377,2.3567593097686768,1.24127995967865,0.6929951012134552,0.9260516464710236,0.903717577457428,1.6182631254196167,246.5873107910156,6.021221876144409,650.6975402832031,287.92713928222656,2.4714272022247314,1.298257291316986,577.5869750976562,663.054443359375,,49.79
2025-02-04 15:46:30+01:00,10.0,1971.78076171875,90.32022094726562,7.46996545791626,7.54302167892456,5.860013961791992,3.806211948394776,3.8434364795684814,280.3078798294067,275.1055299282074,272.3256700277328,334.1410774230957,327.42275466918943,306.409349822998,34.02774810791016,32.941131591796875,33.51874923706055,292.4703182220459,268.1123699188232,0.020809585571289,0.02004856300354,478.6596374511719,479.2602233886719,24.67632293701172,24.322540283203125,378646.5883255005,1300537.0140075684,1242797.7561950684,1247314.3577575684,12.226561546325684,12.241209983825684,830688.3811950684,400390.5773162842,308.7985557556152,265.93926467895506,303.0087093353271,308.4405502319336,6.975000381469727,35.2599983215332,29.979999542236328,0.0003272092692057,3028.1298828125,6.043056488037109,6.019427299499512,11.966400146484377,2.5182409286499023,1.2915221452713013,0.6924022436141968,0.9210389852523804,0.9040244817733764,1.6119683980941772,246.66925048828125,6.340162754058838,650.3885498046875,287.91314697265625,2.470684289932251,1.2982137203216553,577.5020751953125,662.8943481445312,45.12495422363281,49.79
2025-02-04 15:46:32+01:00,10.0,1964.674560546875,89.99497985839844,7.489782810211182,7.622880935668945,5.924880027770996,3.8040924072265625,3.87169337272644,280.3178800582885,275.1255300283432,271.9856701135635,334.1310752868652,327.4327568054199,306.3993515014648,34.02774810791016,32.9345703125,33.51874923706055,292.4803184509277,267.9123701095581,0.020809585571289,0.02004856300354,478.6596374511719,479.2955322265625,24.67632293701172,24.64619255065918,385131.573677063,1287841.7015075684,1229003.8108825684,1238403.2249450684,12.250975608825684,12.205809593200684,837280.1780700684,404418.8976287842,308.84430541992185,266.4906519889832,302.9987091064453,308.45055236816404,6.974999904632568,35.2599983215332,29.979999542236328,0.0003272092692057,3021.63330078125,5.15314531326294,5.147269248962402,11.966400146484377,2.7336392402648926,1.21522855758667,0.679719090461731,0.9140597581863404,0.917460560798645,1.7158464193344116,245.23529052734372,5.113410949707031,650.3119506835938,287.9085998535156,2.4683241844177246,1.2981966733932495,576.2864379882812,662.4796142578125,44.48210144042969,49.79
2025-02-04 15:46:34+01:00,10.0,1974.14990234375,90.12374877929688,7.458067893981934,7.622166156768799,5.908166408538818,3.7751073837280273,3.872528076171875,280.3878797531128,275.1955298423767,271.6256700992584,334.09107818603513,327.5127548217773,306.3993515014648,33.98774719238281,32.93975830078125,33.498748779296875,292.4803184509277,267.7323698043823,0.0210342464447021,0.0200342006683349,478.64007568359375,479.2643127441406,24.693965911865234,24.44876480102539,385665.6312942505,1301757.7171325684,1242309.4749450684,1227783.1077575684,12.281493186950684,12.281493186950684,832885.6468200684,404174.7570037842,308.88173904418943,265.9080494880676,303.0087093353271,308.45055236816404,6.977499961853027,35.279998779296875,30.0,0.0003265989176432,3081.83642578125,5.409786224365234,5.457011699676514,11.966400146484377,2.273702621459961,1.223608374595642,0.6954723596572876,0.9493798017501832,0.920774519443512,1.7193644046783447,246.6146240234375,5.965743064880371,650.3377075195312,287.9683837890625,2.467961549758911,1.2983673810958862,576.1887817382812,662.4047241210938,46.41511917114258,49.79
2025-02-04 15:46:36+01:00,10.0,1968.0135498046875,90.21670532226562,7.504613876342773,7.566829681396484,5.871587753295898,3.8143019676208496,3.845923900604248,280.3978799819946,275.2155298233032,271.6256700992584,334.10107650756834,327.42275466918943,306.4193519592285,34.007747650146484,32.91375732421875,33.498748779296875,292.4703182220459,267.7323698043823,0.0208976764678955,0.0200443401336669,478.6896667480469,479.2283630371094,24.544715881347656,24.584142684936523,388107.0375442505,1276855.3733825684,1221801.6624450684,1243652.2483825684,12.265624046325684,12.244872093200684,833984.2796325684,408935.4991912842,308.6779388427734,265.92053546905515,303.0087093353271,308.45055236816404,6.96999979019165,35.23999786376953,29.959999084472656,0.0003275144788953,3056.82958984375,5.2812180519104,5.8914642333984375,11.966400146484377,2.189453125,1.2580468654632568,0.6890624165534973,0.9211185574531556,0.9127851128578186,1.6755367517471311,247.58428955078125,5.485866546630859,650.1448974609375,287.91290283203125,2.467280149459839,1.2982070446014404,576.2152709960938,662.394775390625,43.53499221801758,49.79
2025-02-04 15:46:38+01:00,10.0,1969.0535278320312,90.29754257202148,7.47032880783081,7.577102899551392,5.880176067352295,3.792558908462525,3.846740126609802,280.40287985801695,275.2205298185348,271.5856700778007,334.0860771179199,327.3977550506592,306.4193519592285,34.007747650146484,32.91461181640625,33.49374771118164,292.48531856536863,267.70736994743345,0.0209183473587036,0.0200548372268676,478.69325256347656,479.2338562011719,24.61457252502441,24.517745971679688,383147.931098938,1283325.0999450684,1226257.2288513184,1241210.8421325684,12.261961936950684,12.216185569763184,831176.6624450684,401061.9640350342,308.74240531921384,265.8893205165863,303.0037092208862,308.45055236816404,6.964999675750732,35.25,29.979999542236328,0.0003262428792317,2953.777099609375,5.1568121910095215,5.413485765457153,11.966400146484377,2.307315945625305,1.2764171361923218,0.6797004044055939,0.9180591702461244,0.9168506562709808,1.664243221282959,246.95606994628903,5.478756904602051,650.2395935058594,287.9272155761719,2.4680497646331787,1.2982596158981323,576.1581115722656,662.5095520019531,,49.79
