_time,n_Fan,P_el_Comp,n_Comp,Q_Kond_outer,Q_Kond_inner,Q_VD,COP_outer,COP_inner,T_eva_in,T_eva_out,T1,T2,T2_dash,T3,T3_a,T3_b,T3_c,T4_dash,T1_dash,m_flow_Comp_Out,m_flow_Kond_Out,density_cond_out,density_ref_cond_out,density_comp_out,density_ref_comp_out,p1,p2,p2_dash,p3,p3_a,p3_c,p4_dash,p1_dash,T_c,T_e,T_con_in,T_con_out,T_cc,T_hyd_rl,T_hyd_vl,V_flow_water,V_flow_air,Superheat_Python,Superheat_VD_out,EEV_opening,Subcooling_3,Subcooling_3a,eta_is,lambda_h,eta_mech,Subcooling_3c,hLevelRec,Superheat_Simulink,hKond_In,hil3/Sensor.hKondOut,hil3/Sensor.sKondIn,sKond_Out,hComp_In,hComp_Out,P_Fan
2025-01-29 11:59:16+01:00,2.0,1348.6702880859375,75.10511779785156,3.245614767074585,3.4243266582489014,2.5002169609069824,2.409064054489136,2.541713237762451,280.1978796958923,266.08553018569944,269.5856701374054,348.9610809326172,335.32275619506834,304.8093494415283,31.04775047302246,29.96224975585937,30.0987491607666,270.4103199481964,260.1723703384399,0.0088966512680053,0.0086877107620239,483.877197265625,481.9049377441406,22.01223373413086,20.645437240600582,216674.6616363525,1198364.1624450684,1188110.2561950684,1179931.5452575684,11.770018577575684,11.774901390075684,448364.2101287842,224853.4917831421,307.28134002685545,273.15,302.98870887756345,307.7305511474609,6.984999656677246,34.36000061035156,30.0,0.000165206858317,3033.4248046875,20.50493431091309,20.63134765625,6.571901798248291,1.8538800477981567,2.5258920192718506,0.773684024810791,0.886786937713623,0.7701836824417114,3.3150908946990967,267.2367553710937,-3.554329872131348,668.6484985351562,283.4091491699219,2.531325340270996,1.2838056087493896,579.6839599609375,696.843994140625,20.92
2025-01-29 11:59:18+01:00,2.0,1353.3924560546875,74.99807739257812,3.267246723175049,3.449209690093994,2.5146780014038086,2.400460720062256,2.5532572269439697,280.1578797340393,266.12553014755247,269.5856701374054,348.9810775756836,335.3527549743652,304.7893489837646,31.04775047302246,29.9710693359375,30.08874893188477,270.30032005310056,260.1723703384399,0.0089560499191284,0.0080209407806396,483.8523864746094,481.919921875,22.01080322265625,21.062274932861328,214004.37355041504,1196533.1077575684,1175781.1546325684,1189086.8186950684,11.771239280700684,11.767577171325684,450927.6866912842,230712.8667831421,307.48608627319334,273.15,303.0087093353271,307.72054901123045,6.979999542236328,34.349998474121094,29.959999084472656,0.0001654103257921,3025.32666015625,19.86005401611328,20.06123924255371,6.4479570388793945,2.1896519660949707,2.4525249004364014,0.7501895427703857,0.8534048199653625,0.7779664993286133,3.384249687194824,267.46893310546875,-3.5643298625946045,668.5626220703125,283.4364318847656,2.5303854942321777,1.283774495124817,579.5613403320312,696.6510620117188,20.92
2025-01-29 11:59:20+01:00,2.0,1348.86279296875,75.13262176513672,3.2591984272003174,3.426565647125244,2.5002245903015137,2.410560369491577,2.534348249435425,280.1578797340393,266.12553014755247,269.59567012786863,348.99107971191404,335.3727554321289,304.8093494415283,31.04775047302246,29.96923828125,30.11874771118164,270.0403200626373,260.1823705673217,0.0089023923873901,0.0080200014114379,483.8414306640625,481.93756103515625,21.99029922485352,20.8475284576416,212859.96437072757,1202148.3421325684,1191284.0843200684,1188842.6780700684,11.763915061950684,11.752928733825684,429931.5929412842,222167.9449081421,307.31549682617185,273.15,302.98870887756345,307.7305511474609,6.972499847412109,34.349998474121094,29.959999084472656,0.000165206858317,2909.7705078125,20.022918701171875,19.50739288330078,6.540370464324951,2.275429010391236,2.547452449798584,0.762981653213501,0.8686002492904663,0.7695398330688477,3.535242080688477,268.302001953125,-3.554329872131348,668.4766235351562,283.41064453125,2.5294485092163086,1.2838596105575562,579.7390747070312,696.7642822265625,20.92
2025-01-29 11:59:22+01:00,2.0,1348.8919677734375,75.14209365844727,3.267179250717163,3.4502532482147217,2.517189741134644,2.4194875955581665,2.5551117658615112,280.1578797340393,266.10553016662595,269.5706701517105,349.0010818481445,335.3777545928955,304.8093494415283,31.04775047302246,29.964813232421875,30.103748321533203,269.8603201150894,260.1873702049255,0.0089635324478149,0.0078420512676239,483.8554992675781,481.93304443359375,21.97265625,20.921289443969727,214576.5781402588,1196350.0022888184,1186035.0608825684,1186462.3069763184,11.770628929138184,11.748045921325684,436157.1788787842,222839.3316268921,306.99787559509275,273.15,302.98870887756345,307.7305511474609,6.960000038146973,34.369998931884766,29.979999542236328,0.0001650034077962,3029.865234375,20.00313186645508,19.564165115356445,6.5102410316467285,2.2782862186431885,2.5646923780441284,0.7554183900356293,0.8694207668304443,0.7771507501602173,3.5006532669067383,268.24053955078125,-3.569329857826233,668.411376953125,283.4093170166016,2.528956651687622,1.2838359475135803,579.6563110351562,,20.92
2025-01-29 11:59:24+01:00,2.0,1348.921142578125,75.15156555175781,3.275160074234009,3.473940849304199,2.534154891967773,2.428414821624756,2.5758752822875977,280.1578797340393,266.08553018569944,269.54567017555235,349.011083984375,335.3827537536621,304.8093494415283,31.04775047302246,29.96038818359375,30.08874893188477,269.6803201675415,260.1923698425293,0.0090246725082397,0.0076641011238098,483.86956787109375,481.9285278320313,21.955013275146484,20.99505043029785,216293.19190979004,1190551.6624450684,1180786.0374450684,1184081.9358825684,11.777342796325684,11.743163108825684,442382.7648162842,223510.7183456421,306.68025436401365,273.15,302.98870887756345,307.7305511474609,6.962499618530273,34.36000061035156,29.959999084472656,0.0001647490946451,2977.404296875,19.98334503173828,19.62093734741211,6.480111598968506,2.2811434268951416,2.581932306289673,0.7478551268577576,0.8702412843704224,0.7847616672515869,3.466064453125,268.1790771484375,-3.584329843521118,668.3461303710938,283.4079895019531,2.5284647941589355,1.2838122844696045,579.5735473632812,696.4343872070312,20.92
2025-01-29 11:59:26+01:00,2.0,1342.8668212890625,75.01934051513672,3.264068126678467,3.458922863006592,2.5236661434173584,2.4409310817718506,2.5653533935546875,280.11787977218626,266.03553047180174,269.5556701660156,349.04108276367185,335.4327568054199,304.8093494415283,31.057750701904297,29.96176147460937,30.08874893188477,269.78032007217405,260.2023700714111,0.0089868555068969,0.0082958660125732,483.8728942871094,481.8551940917969,21.96979522705078,20.815128326416016,220794.53468322757,1188964.7483825684,1182372.9515075684,1188842.6780700684,11.762694358825684,11.807860374450684,437988.2335662842,228759.7417831421,307.2087577819824,273.15,302.98870887756345,307.7405494689941,6.960000038146973,34.349998474121094,29.979999542236328,0.0001647490946451,2984.74609375,20.04082489013672,19.906850814819336,6.5114359855651855,2.219688653945923,2.569004774093628,0.7630621790885925,0.8754901885986328,0.7790358066558838,3.40720796585083,269.9408569335937,-3.584329843521118,668.2905883789062,283.4362487792969,2.527575731277466,1.283867120742798,579.59130859375,696.4509887695312,20.92
2025-01-29 11:59:28+01:00,2.0,1348.21142578125,75.18851470947266,3.2824525833129883,3.4406509399414062,2.5072262287139893,2.436525821685791,2.553954601287842,280.1278800010681,265.9955305099487,269.5556701660156,349.0510772705078,335.4327568054199,304.8093494415283,31.04775047302246,29.96176147460937,30.0987491607666,269.6503201961517,260.1823705673217,0.0089296808242797,0.0076172428131103,483.8309326171875,481.9043273925781,22.00031280517578,20.969057083129883,211715.55519104004,1205078.0296325684,1192016.5061950684,1196777.2483825684,11.761473655700684,11.749266624450684,437011.6710662842,218139.6245956421,307.0116333007812,273.15,303.0087093353271,307.7405494689941,6.944999694824219,34.369998931884766,29.979999542236328,0.0001641895887586,3032.134521484375,19.94464111328125,20.184934616088867,6.43109941482544,2.151010036468506,2.63208532333374,0.7549200057983398,0.8703303337097168,0.777744710445404,3.510935068130493,270.50079345703125,-3.584329843521118,668.5372314453125,283.4900207519531,2.529430866241455,1.2839736938476562,579.3588256835938,696.58984375,20.92
2025-01-29 11:59:30+01:00,2.0,1346.4083251953125,75.12239837646484,3.2885537147521973,3.438991069793701,2.508695363998413,2.440839529037476,2.552497625350952,280.1578797340393,265.9855302810669,269.56567015647886,349.09107818603513,335.4527572631836,304.8093494415283,31.04775047302246,29.967926025390625,30.068748474121094,269.51032009124754,260.2023700714111,0.0089296808242797,0.0076172428131103,483.8309326171875,481.91839599609375,22.00031280517578,21.09013557434082,216979.8374176025,1201049.7093200684,1189330.9593200684,1190917.8733825684,11.754149436950684,11.739500999450684,440185.4991912842,225952.1245956421,307.0931800842285,273.15,302.98870887756345,307.77055206298826,6.944999694824219,34.36000061035156,30.0,0.0001641895887586,2980.51904296875,20.3586483001709,20.06082534790039,6.416270732879639,2.169651508331299,2.487062454223633,0.7689744830131531,0.8842664957046509,0.7755497694015503,3.476267099380493,268.6434326171875,-3.604329824447632,668.6114501953125,283.4923095703125,2.52841591835022,1.2838332653045654,579.62353515625,696.4950561523438,20.92
2025-01-29 11:59:32+01:00,2.0,1345.9100952148438,75.13248825073242,3.2800413370132446,3.4444167613983154,2.51250159740448,2.4346485137939453,2.556658744812012,280.17287983894346,265.9905303955078,269.56567015647886,349.1060775756836,335.467756652832,304.8093494415283,31.04775047302246,29.965499877929688,30.07874870300293,269.5703200340271,260.1973699569702,0.0089415760040283,0.0079624853134155,483.8347473144531,481.8813629150391,22.002220153808597,20.8968448638916,215644.6933746338,1200073.1468200684,1187683.0101013184,1185424.7093200684,11.768187522888184,11.757201194763184,442504.8351287842,225707.9839706421,307.1466983795166,273.15,302.9937089920044,307.77555122375486,6.942500114440918,34.369998931884766,29.979999542236328,0.0001643930392795,3068.398681640625,20.358976364135746,20.1612548828125,6.502312898635864,2.098680257797241,2.534497380256653,0.7677810490131378,0.8849088847637177,0.7771257162094116,3.44537365436554,268.8892517089844,-3.594329833984375,668.7303161621094,283.4928894042969,2.529961109161377,1.2839656472206116,579.7182006835938,,20.92
2025-01-29 11:59:34+01:00,2.0,1345.411865234375,75.142578125,3.271528959274292,3.4498424530029297,2.516307830810547,2.428457498550415,2.5608198642730717,280.18787994384763,265.9955305099487,269.56567015647886,349.121076965332,335.48275604248045,304.8093494415283,31.04775047302246,29.96307373046875,30.08874893188477,269.6303199768066,260.1923698425293,0.0089534711837768,0.0083077278137207,483.8385620117188,481.8443298339844,22.004127502441406,20.703554153442383,214309.54933166504,1199096.5843200684,1186035.0608825684,1179931.5452575684,11.782225608825684,11.774901390075684,444824.1710662842,225463.8433456421,307.20021667480466,273.15,302.9987091064453,307.78055038452146,6.940000057220459,34.369998931884766,29.959999084472656,0.0001641895887586,2983.27783203125,20.359304428100582,20.26168441772461,6.58835506439209,2.027709007263184,2.581932306289673,0.7665876150131226,0.8855512738227844,0.778701663017273,3.414480209350586,269.13507080078125,-3.584329843521118,668.8491821289062,283.49346923828125,2.531506299972534,1.2840980291366575,579.8128662109375,697.0075073242188,20.92
