dataset,target,mse,rmse,mae,mard_pct
train,Cd,4.0014086429099185e-06,0.002000352129728643,0.0015547477754058235,1.333798762609466
test,Cd,1.0684807883222612e-05,0.0032687624390926014,0.00251910918147648,1.8685082583557868
train,m_flow_g_s,0.030093887575110202,0.17347589911889835,0.1345450469711246,1.3337987626094603
test,m_flow_g_s,0.05970398763188797,0.24434399446658797,0.1935486337923886,1.868508258355794
